node,x,y,label
0,106.71420063535523,184.712873321124,0
1,48.44727251174996,149.96166298174379,0
2,77.010618573642,116.96445518635778,0
3,140.27354590436602,109.0481226332291,0
4,146.04901445495113,136.71536145213332,0
5,57.04371842789772,176.41118989749023,0
6,107.5095022227709,73.82924398643947,0
7,143.96346905900683,199.75649050969582,0
8,162.22536005973717,187.27220967049982,0
9,174.4234349258844,113.25804408258082,0
10,101.13819185266033,224.09996117113735,0
11,56.559558580886026,152.33234511451874,0
12,143.4078150633294,181.86061491649477,0
13,124.08539509849592,202.56520888575278,0
14,156.452387127415,159.70958988950784,0
15,139.76533241791714,217.43864352849906,0
16,103.95436083190121,75.37988476693818,0
17,158.04383902595512,170.50980505986973,0
18,140.34622029674662,108.11370938380787,0
19,77.27183821531442,122.9935826480399,0
20,121.78676619271198,93.19305162037837,0
21,121.19353560120865,221.43898054971123,0
22,172.0725156607742,161.26748788511088,0
23,78.65512066700656,120.42005315832654,0
24,163.7697795890688,97.32668158032149,0
25,170.2768966767295,102.30905208119127,0
26,124.0220491735354,206.55659508540114,0
27,63.344863339471665,136.54994693427426,0
28,61.153755349184664,121.70668199681609,0
29,105.87898821375197,218.5239482848924,0
30,138.46281144702778,165.22229979806053,0
31,92.46479211252533,136.8102254102392,0
32,119.95691324708208,167.9703389518542,0
33,95.70474522087571,164.42666726873694,0
34,173.2898677481247,138.87724240975217,0
35,46.31949999740881,151.67658680935008,0
36,142.47561607319713,202.6894595035014,0
37,99.89243927773049,145.10674027367858,0
38,172.08718335946418,142.25439687689192,0
39,171.31701121456322,190.78873065406984,0
40,157.33256103320346,88.23145623960633,0
41,128.5202965657928,139.79890872310477,0
42,49.741538190254715,148.536938570474,0
43,149.7925990133075,197.42128716945172,0
44,131.3867871583209,137.5972897883428,0
45,158.05670842361502,172.4634986652586,0
46,54.0379764296097,185.82938836148583,0
47,139.8555141023932,152.01627563662646,0
48,155.55854353848298,102.35131405064112,0
49,160.3065209535947,103.30325989203459,0
50,82.65157270375607,208.60135113638609,0
51,73.1990063548617,164.47892364332256,0
52,167.4620224749854,118.18995706794621,0
53,120.51026159026448,156.8121980351687,0
54,64.99173970393366,183.83828063458435,0
55,62.79730352922381,125.02554716872109,0
56,192.47336915403315,159.83623790830512,0
57,146.9893886881847,151.42769432759945,0
58,90.62876678179767,172.59100218458389,0
59,74.68053125570252,140.334358950324,0
60,76.6797489095966,188.6067764578004,0
61,77.77243099268222,112.8897908181422,0
62,149.0145748079834,139.3828740341259,0
63,99.25326230176339,137.9690582380722,0
64,119.87534776527099,153.27876575506073,0
65,74.85248412820862,155.4951029059729,0
66,107.57254638530779,113.16701506749983,0
67,111.06648760378307,91.96401777069806,0
68,133.24371724443333,171.94539091588032,0
69,80.89276362425517,183.29529344678338,0
70,79.14139989626445,210.24735315499998,0
71,141.5929251865318,211.00459434187778,0
72,162.30900541985773,125.76637384738342,0
73,97.63479825260814,123.71860818691944,0
74,70.17583622789049,172.66309689352127,0
75,290.7435673037548,150.98072178322843,1
76,327.3687795579741,162.73185749949158,1
77,293.43279586971164,208.1632945638317,1
78,294.07399881382725,89.16506055201836,1
79,307.168523113674,173.7825098261882,1
80,273.5225790409841,197.1201197147584,1
81,310.6294662224243,121.27809867110602,1
82,308.3456876792723,170.69938861571876,1
83,260.24452765266994,197.12166990738416,1
84,297.1193747395004,77.6652994037418,1
85,318.35927784725374,169.4985196045938,1
86,222.75066225841016,112.48537553224834,1
87,243.60614323641903,139.1046824162225,1
88,247.82698684104972,102.77729482411601,1
89,281.071445633087,152.81334355295934,1
90,334.2592299575387,166.61063472100707,1
91,304.42131066046255,186.6470609279534,1
92,300.45863329133425,179.14749785434196,1
93,281.0013031436045,220.52560532470557,1
94,273.34665835509173,191.01329631047997,1
95,230.12862843360153,178.9898054382133,1
96,314.0646751582616,86.66652721183488,1
97,222.71952541217408,194.26516219357,1
98,222.018239514316,119.81065256913432,1
